,Book,Author,Year,month
727,Takedown Twenty,Janet Evanovich,2013,December
728,Cross My Heart,James Patterson,2013,December
729,The Gods of Guilt,Michael Connelly,2013,December
733,Sycamore Row,John Grisham,2014,January
734,The Invention of Wings,Sue Monk Kidd,2014,January
738,The Goldfinch,Donna Tartt,2014,February
739,Private L.A.,James Patterson and Mark Sullivan,2014,March
740,Concealed in Death,Nora Roberts,2014,March
741,The Chance,Robyn Carr,2014,March
742,Words of Radiance,Brandon Sanderson,2014,March
743,Night Broken,Patricia Briggs,2014,March
744,Missing You,Harlan Coben,2014,April
745,Shadow Spell,Nora Roberts,2014,April
746,The King,J. R. Ward,2014,April
747,Carnal Curiosity,Stuart Woods,2014,April
748,The Collector,Nora Roberts,2014,May
750,The Target,David Baldacci,2014,May
752,Unlucky 13,James Patterson,2014,June
753,The One and Only,Emily Giffin,2014,June
754,Skin Game,Jim Butcher,2014,June
755,Mr. Mercedes,Stephen King,2014,June
756,Written in My Own Heart's Blood,Diana Gabaldon,2014,June
757,Top Secret Twenty-One,Janet Evanovich,2014,July
759,Invisible,James Patterson,2014,July
760,Act of War,Brad Thor,2014,July
761,The Book of Life,Deborah Harkness,2014,August
762,Fifty Shades of Grey,E. L. James,2014,August
763,Big Little Lies,Liane Moriarty,2014,August
766,Outlander,Diana Gabaldon,2014,September
767,The Long Way Home,Louise Penny,2014,September
768,Personal,Lee Child,2014,September
769,Festive in Death,J. D. Robb,2014,September
770,Edge of Eternity,Ken Follett,2014,October
776,Blood Magick,Nora Roberts,2014,November
777,The Burning Room,Michael Connelly,2014,November
778,Revival,Stephen King,2014,November
779,Captivated by You,Sylvia Day,2014,December
780,Hope to Die,James Patterson,2014,December
783,Gray Mountain,John Grisham,2015,January
784,Gone Girl,Gillian Flynn,2015,January
786,All the Light We Cannot See,Anthony Doerr,2015,January
800,The Liar,Nora Roberts,2015,May
801,Memory Man,David Baldacci,2015,May
802,Gathering Prey,John Sandford,2015,May
803,14th Deadly Sin,James Patterson,2015,May
806,Radiant Angel,Nelson DeMille,2015,June
807,Finders Keepers,Stephen King,2015,June
812,Grey,E. L. James,2015,July
816,Alert,James Patterson and Michael Ledwidge,2015,August
817,Go Set a Watchman,Harper Lee,2015,August
818,Friction,Sandra Brown,2015,September
819,X,Sue Grafton,2015,September
820,The Girl in the Spider's Web,David Lagercrantz,2015,September
821,Make Me,Lee Child,2015,September
824,The Martian,Andy Weir,2015,October
825,The Survivor,Vince Flynn and Kyle Mills,2015,October
826,See Me,Nicholas Sparks,2015,November
829,The Crossing,Michael Connelly,2015,November
831,Tricky Twenty-Two,Janet Evanovich,2015,December
832,Cross Justice,James Patterson,2015,December
833,The Nightingale,Kristin Hannah,2015,December
836,Rogue Lawyer,John Grisham,2016,January
839,Scandalous Behavior,Stuart Woods,2016,January
840,Blue,Danielle Steel,2016,February
841,NYPD Red 4,James Patterson and Marshall Karp,2016,February
842,Brotherhood In Death,J. D. Robb,2016,February
843,Morning Star,Pierce Brown,2016,February
844,Cometh the Hour,Jeffrey Archer,2016,March
846,The Gangster,Clive Cussler and Justin Scott,2016,March
847,Fire Touched,Patricia Briggs,2016,March
848,Private Paris,James Patterson and Mark Sullivan,2016,April
850,Fool Me Once,Harlan Coben,2016,April
851,One with You,Sylvia Day,2016,April
852,The Obsession,Nora Roberts,2016,May
853,The Last Mile,David Baldacci,2016,May
854,Extreme Prey,John Sandford,2016,May
855,15th Affair,James Patterson and Maxine Paetro,2016,May
860,End of Watch,Stephen King,2016,June
861,Bay of Sighs,Nora Roberts,2016,July
863,The Games,James Patterson and Mark Sullivan,2016,July
864,Me Before You,Jojo Moyes,2016,July
865,The Black Widow,Daniel Silva,2016,July
867,Truly Madly Guilty,Liane Moriarty,2016,August
868,Bullseye,James Patterson and Michael Ledwidge,2016,August
869,Insidious,Catherine Coulter,2016,August
872,A Great Reckoning,Louise Penny,2016,September
873,Apprentice in Death,J. D. Robb,2016,September
878,The Girl on the Train,Paula Hawkins,2016,October
879,Escape Clause,John Sandford,2016,November
882,Night School,Lee Child,2016,November
883,Turbo Twenty-Three,Janet Evanovich,2016,December
884,Cross the Line,James Patterson,2016,December
886,Island of Glass,Nora Roberts,2016,December
888,The Whistler,John Grisham,2017,January
889,The Wrong Side of Goodbye,Michael Connelly,2017,January
890,The Mistress,Danielle Steel,2017,January
892,Never Never,James Patterson and Candice Fox,2017,February
893,A Dog's Purpose,W. Bruce Cameron,2017,February
894,Right Behind You,Lisa Gardner,2017,February
895,Echoes in Death,J. D. Robb,2017,February
896,Heartbreak Hotel,Jonathan Kellerman,2017,March
900,The Shack,William P. Young,2017,April
901,Mississippi Blood,Greg Iles,2017,April
903,The Chosen,J. R. Ward,2017,April
904,The Black Book,James Patterson and David Ellis,2017,April
905,The Fix,David Baldacci,2017,May
906,Golden Prey,John Sandford,2017,May
907,16th Seduction,James Patterson and Maxine Paetro,2017,May
910,Into the Water,Paula Hawkins,2017,June
911,Come Sundown,Nora Roberts,2017,June
916,Camino Island,John Grisham,2017,July
917,House of Spies,Daniel Silva,2017,July
919,The Late Show,Michael Connelly,2017,August
920,The Medical Examiner,James Patterson and Maxine Paetro,2017,August
921,Any Dream Will Do,Debbie Macomber,2017,August
